#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Luk
ExportTimeRangeGroupBox,Tidsområde
ExportOverlaysAnalytics,Videoanalysehændelser
ExportClipNameText,Klip %1%
ExportClipsLabel,Klip:
ExportCamerasLabel,Kameraer:
ExportAddClipLabel,Tilføj klip
ExportDeleteClipLabel,Slet klip
ExportInvalidClipError,Der skal vælges mindst én enhed for hvert klip.

ExportIncompleteFrameCountSuccessMsg,Eksport gennemført, før billedantal blev nået.
ExportIncompleteRangeSuccessMsg,Eksport gennemført, før udløb af specificeret tidsområde.
ExportInterruptedMsg,Eksport afbrudt af bruger.
ExportDiscBurnError,Der opstod en fejl under skrivning til disk.
ExportInterruptedAwaitingDiscMsg,Disk er fuld. Pause i eksport. Indsæt en ny disk.
ExportNoFrameMsg,Eksporttidsområdet indeholder ingen data.
ExportServerErrorMsg,Eksport afbrudt pga. uventet serverfejl.
ExportPrintErrorMsg,Eksporten blev afbrudt pga. en uventet printerfejl.
ExportPausedMsg,Eksport holder pause.

ExportOverwriteMultiAfterPrompt,Vil du erstatte dem?
ExportOverwriteMultiBeforePrompt,Disse filer findes allerede og bliver overskrevet:

ExportProgressData,Data: %1$0.1f MB
ExportProgressDataEstimate,Vurdering: %1$0.1f MB
ExportProgressFrames,Billeder: %1%
ExportProgressDone,Eksporterer... Udført
ExportProgressPercentage,Eksporterer: %1%%% Udført
ExportProgressTimeEstimate,Vurderet resterende tid:
ExportProgressTimeEstimateHours,%1% timer, %2% minutter
ExportProgressTimeEstimateMinutes,%1% minutter, %2% sekunder
ExportProgressTimeEstimateSeconds,%1% sekunder
ExportProgressTimeEstimateUnderSecond,1 sekund
ExportProgressInitializingDiscWriter,Initialiserer disk-writer. 
ExportProgressBurning,Skriver til disk. 
ExportProgressVerifyingDisc,Kontrollerer disk. 
ExportProgressFinalizingDisc,Finaliserer disk. 

ExportDoneText,OK
ExportStartText,Start eksport
ExportStopText,Stop eksport
ExportPauseText,Hold pause i eksport
ExportResumeText,Genoptag eksport
ExportSuccessMsg,Eksport gennemført.

ExportConnectionErrorMsg,Der opstod en kommunikationsfejl under forsøg på at eksportere.
ExportWriteErrorMsg,Filen kunne ikke skrives på disken.
ExportEncoderErrorMsg,De angivne koderindstillinger mislykkedes.

ExportWMPIncompatibleResQuery,AVI-filer, oprettet med den valgte opløsning, bliver måske ikke afspillet korrekt i Windows Media Player.\nSkal AVI-filen reduceres i størrelse, så den kan blive korrekt afspillet\ni Windows Media Player?
ExportPagePrinterSettingsLabel,Printerindstillinger...
ExportPagePrinterLabel,Printer:
ExportPrintDocName,Avigilon Control Center eksport
ExportPageNoPrinterError,Kan ikke eksportere:\nIngen printer er installeret.
ExportPagePaperLabel,Papir:
ExportPageUserTextLabel,Tilføj eksportbemærkninger...
ExportPageUserTextTitle,Tilføj eksportbemærkninger
ExportPageUserTextCaption,Tilføj tekst nedenunder, der skal følge det eksporterede billede

ExportDiscBurnButtonText,Brænd på disk
ExportDiscBurnDialogTitle,Brænd på disk
ExportDiscBurnDialogBurnerDevText,Diskdrev:
ExportDiscBurnDialogNameSelectTxt,Filnavn:
ExportDiscBurnDialogDiscMediaInfo,Medietype:
ExportDiscBurnDialogDiscFreeSpace,Ledig plads:
ExportDiscBurnDialogDefaultName,ACC Eksport - 
ExportDiscBurnDialogNoBurnersText,Kan ikke brænde disk. Ingen skrivbare diskdrev er tilgængelige.
ExportDiscBurnDialogPleaseEnterBlankDiscTxt,Indsæt en tom disk.
ExportDiscBurnDialogReadyToStartBurnTxt,Klar til at brænde på disk.

#################################################
# Supported media types for IMAPI and cd export
#################################################

MediaTypeIMAPI_MEDIA_TYPE_UNKNOWN,Ukendt medie/tom
MediaTypeIMAPI_MEDIA_TYPE_CDROM,CD-ROM
MediaTypeIMAPI_MEDIA_TYPE_CDR,CD-R
MediaTypeIMAPI_MEDIA_TYPE_CDRW,CD-RW
MediaTypeIMAPI_MEDIA_TYPE_DVDROM,DVD ROM
MediaTypeIMAPI_MEDIA_TYPE_DVDRAM,DVD-RAM
MediaTypeIMAPI_MEDIA_TYPE_DVDPLUSR,DVD+R
MediaTypeIMAPI_MEDIA_TYPE_DVDPLUSRW,DVD+RW
MediaTypeIMAPI_MEDIA_TYPE_DVDPLUSR_DUALLAYER,DVD+R Dual Layer
MediaTypeIMAPI_MEDIA_TYPE_DVDDASHR,DVD-R
MediaTypeIMAPI_MEDIA_TYPE_DVDDASHRW,DVD-RW
MediaTypeIMAPI_MEDIA_TYPE_DVDDASHR_DUALLAYER,DVD-R Dual Layer
MediaTypeIMAPI_MEDIA_TYPE_DISK,Vilkårlig-adgang disk
MediaTypeIMAPI_MEDIA_TYPE_DVDPLUSRW_DUALLAYER,DVD+RW DL
MediaTypeIMAPI_MEDIA_TYPE_HDDVDROM,HD DVD-ROM
MediaTypeIMAPI_MEDIA_TYPE_HDDVDR,HD DVD-R
MediaTypeIMAPI_MEDIA_TYPE_HDDVDRAM,HD DVD-RAM
MediaTypeIMAPI_MEDIA_TYPE_BDROM,Blu-ray DVD (BD-ROM)
MediaTypeIMAPI_MEDIA_TYPE_BDR,Blu-ray (BDR)
MediaTypeIMAPI_MEDIA_TYPE_BDRE,Blu-ray (BDRE)
MediaType_Error,Fejl eller drev i brug


#################################################
# File Filter Strings
#################################################

FileFilterAVEAVK,AVE/AVK-filer (*.ave,*.avk)|*.ave;*.avk|Alle filer (*.*)|*.*
FileFilterAVE,AVE-filer (*.ave)|*.ave|Alle filer (*.*)|*.*
FileFilterAVI,AVI-filer (*.avi)|*.avi|Alle filer (*.*)|*.*
FileFilterJPEG,JPEG-filer (*.jpg,*.jpeg)|*.jpg;*.jpeg|Alle filer (*.*)|*.*
FileFilterPNG,PNG-filer (*.png)|*.png|Alle filer (*.*)|*.*
FileFilterDNG,DNG-filer (*.dng)|*.dng|Alle filer (*.*)|*.*
FileFilterPGM,PGM-filer (*.pgm)|*.pgm|Alle filer (*.*)|*.*
FileFilterTIFF,TIFF-filer (*.tif,*.tiff)|*.tif;*.tiff|Alle filer (*.*)|*.*
FileFilterPDF,PDF-filer (*.pdf)|*.pdf|Alle filer (*.*)|*.*
FileFilterWAV,WAV-filer (*.wav)|*.wav|Alle filer (*.*)|*.*
FileNotFoundDialogCaption,Fil blev ikke fundet
FileNotFoundDialogText,Fil blev ikke fundet eller kunne ikke åbnes


#################################################
# Backup Strings
#################################################

BackupPanelTitle,Arkiv
BackupPanelOptionsLabel,Funktioner for arkivering
BackupPanelDeleteOldestLabel,Slet de ældste arkiver, når disken er fuld
BackupPanelProgressRunningLabel,Sikkerhedskopiering, %1% %% fuldført.
BackupPanelProgressDoneLabel,Arkiveringen blev fuldført.
BackupPanelProgressUserAbortedLabel,Arkiveringen blev afbrudt.
BackupPanelProgressNoDataLabel,Arkiveringen blev afbrudt pga. manglende data.
BackupPanelProgressNoDiskSpaceLabel,Arkiveringen blev afbrudt pga. manglende diskplads eller skrivefejl.
BackupPanelProgressTimedOutLabel,Arkiveringen blev afbrudt pga. timeout for diskhandling.
BackupPanelProgressUnknownErrorLabel,Arkiveringen blev afbrudt pga. en ukendt fejl.
BackupPanelStartLabel,Start arkivering
BackupPanelAbortLabel,Afbryd arkivering
BackupPanelErrorMessage,Der opstod en fejl under arkivering af serverdata.
BackupPanelDoneLabel,OK



#################################################
# System Explorer Strings
#################################################

SystemExplorerStreamAllDevices,Vis alle
SystemExplorerAddToViewPanel,Tilføj til visning
SystemExplorerExpandAll,Udvis alle
SystemExplorerCollapseAll,Sammentræk alle

#################################################
# Property Dialog Strings
#################################################

PropertyDialogProperties,Egenskaber
PropertyDialogLocation,Placering
PropertyDialogFolder,Vælg en lokation:
PropertyDialogPlacement,Træk for at bestille igen:
PropertyDialogExpanderHeader,Klik på vis placering

#################################################
# Web Page Strings
#################################################



WebLinkNodeAddToViewLabel,Tilføj til visning
WebLinkNodeEditLabel,Rediger...
WebLinkNodeRemoveLabel,Slet
WebLinkNodeRemoveQuery,Er du sikker på, at du vil slette webside '%1%'?

WebLinkPanelBackwardToolTip,Gå tilbage
WebLinkPanelForwardToolTip,Gå frem
WebLinkPanelHomeToolTip,Gå til forside
WebLinkPanelZoomToolTip,Zoomniveau
WebLinkPanelGoToolTip,Gå til URL
WebLinkPanelRefreshToolTip,Opdater

WebPanelZoomAuto,Tilpas til bredde
WebPanelZoom400,400%%
WebPanelZoom200,200%%
WebPanelZoom150,150%%
WebPanelZoom100,100%%
WebPanelZoom75,75%%
WebPanelZoom66,66%%
WebPanelZoom50,50%%
WebPanelZoom35,35%%
WebPanelZoom20,20%%

WebPanelNoZoomWarning,Zoomniveauer kræver Internet Explorer 7 eller nyere.  Opgrader versionen af Internet Explorer på dit system for at aktivere zooming.
WebLinkSaveFailureText,Der opstod en fejl under lagring af webside '%1%'.


#################################################
# Maps Strings
#################################################

MapPropertiesPanelTitle,Kortegenskaber
MapSaveButtonText,Gem
MapChangeFileButtonText,Gem billede...
MapEditPropertiesText,Redigerer egenskaber...
FileFilterMapImage,Billedfiler (*.jpg, *.jpeg, *.bmp, *.png, *.gif)|*.jpg;*.jpeg;*.bmp;*.png;*.gif|Alle filer (*.*)|*.*
MapFileDialogTitle,Vælg kortbillede
MapDefaultName,Nyt kort
MapSaveNotYetSavedMessageText,Gemme ændringer på kort '%1%'?
MapNameLabel,Kortnavn:
MapImageLabel,Billede:
CreateMapCommandText,Nyt kort...
MapEditMenuText,Rediger...
MapDeleteMenuText,Slet
MapDeleteQueryText,Er du sikker på, at du vil slette kort '%1%'?
MapEditTitle,Redigerer: %1%
MapSaveFailureText,Der opstod en fejl under lagring af kort '%1%'.
MapLoadImageError,Der opstod en fejl under indlæsning af kortbillede.
MapDeleteImageError,Der opstod en fejl under sletning af kortbillede.
MapForwardButtonText,Videresend
MapForwardButtonToolTip,Gå til næste kort
MapBackButtonText,Tilbage
MapBackButtonToolTip,Gå til forrige kort
MapObjectIconButtonText,Vis som ikon
MapObjectIconViewConeCheckBoxText,Vis visningsfelt
MapObjectRectangleButtonText,Vis som rektangel
MapObjectEllipseButtonText,Vis som ellipse
MapObjectPolygonButtonText,Vis som polygon
MapObjectPolygonResetButtonText,Tegn polygon igen
MapObjectPolygonEditText,Tegn en polygon på kortet.
MapObjectCameraRoiButtonText,Skift billedregion...
MapObjectPolygonEditDoneLabel,Udført
MapObjectPolygonEditCancelLabel,Annuller
MapCameraPolygonNoPointsError,Polygonen skal have mindst tre kanter.
MapObjectShowLabelLabel,Vis navn
MapCameraRoiFormTitle,Skift billedregion
MapCameraRoiFormCaption,Vælg region for billedet til streaming, når kameraet er valgt på kortet.
MapObjectDeleteText,Slet fra kort
MapObjectDeleteQuery,Er du sikker på, at du vil slette dette objekt fra kortet?
MapEditLoadingTitle,Indlæser...

MapError,Et kort skal have et navn og billede.
MapImageSizeError,Billedet er for stort. Vælg et andet billede.
MapImageSizeWarning,Det valgte billede overskrider 9 MP og kan medføre problemer med ydeevnen. Vil du fortsætte?
MapImageUnavailable,Kortbillede er ikke tilgængeligt

#################################################
# View Strings
#################################################




SaveMenuItemSaveAsNewViewText,Gem som ny visning
SaveMenuItemUpdateSavedViewText,Opdater gemt visning
SaveViewTabCommandToolTip,Gem visning
CollaborateViewTabCommandToolTip,Samarbejde

SaveViewPanelSettingsClusterText,Site:
SaveViewPanelSettingsNameText,Navn:
SaveViewPanelSettingsLogicalIDText,Logisk ID
SaveViewSaveFailureText,Der opstod en fejl under lagring af visning '%1%'.

ShareViewPanelRequestUserText,Vælg bruger:
ShareViewPanelRequestUserLabel,%1% på %2%
ShareViewPanelRequestNoUsersError,Kan ikke starte en samarbejdssession. Ingen andre brugere er logget ind på dette site.

ShareViewPanelResponseQuery,Accepter invitation om samarbejdssession fra '%1%' på '%2%'?

ShareViewPanelResultAcceptedText,Bruger '%1%' på '%2%' har sluttet sig til samarbejdssessionen
ShareViewPanelResultRejectedText,Bruger '%1%' på '%2%' har sluttet sig til samarbejdssessionen

SystemExplorerDeleteSavedView,Slet
SystemExplorerDeleteSavedViewCaption,Slet
SystemExplorerDeleteSavedViewText,Er du sikker på, at du vil slette den gemte visning?

SystemExplorerDeleteSavedMonitorText,Er du sikker på, at du vil slette den virtuelle matrix-monitor?

SpawnViewWindowCommandText,Nyt vindue
SystemExplorerAddViewToNewTab,Åbn

SystemExplorerEditSavedView,Rediger...
SystemExplorerRenameSavedView,Omdøb
TabCloseToolTip,Luk visning
NewTabToolTip,Ny opgave

NewTaskCommandLabel,Ny opgave...



ViewModeLiveCommandText,Live
ViewModeLiveCommandToolTip,Live visningsmåde
ViewModePlaybackCommandText,Optaget
ViewModePlaybackCommandToolTip,Optaget visningsmåde
ViewPanelTitle,Visning %1%

ViewLayoutCycleCommandToolTip,Skift mellem visninger
ViewLayoutFullScreenCommandToolTip,Fuld skærm

EndFullScreenCommandText,Afslut fuld skærm

ImageContextMenuLive,Live
ImageContextMenuPlayback,Optaget

FormEventsToolTip,Hændelser
FormOtherTasksToolTip,Programmenu

FormMinimizeToolTip,Minimer
FormMaximizeToolTip,Maksimer
FormRestoreToolTip,Gendan ned
FormCloseToolTip,Luk

#################################################
# Transaction View Strings
#################################################

TransactionViewContextMenuLive,Live
TransactionViewContextMenuPlayback,Optaget
TransactionViewDeviceToolTip,Vis kamera
TransactionViewDeviceSelectTitle,Vælg kamera
TransactionViewDeviceSelectLabel,Vælg indstillingen der skal vises:


#################################################
# Layout Strings
#################################################

ViewLayoutCommandText,%1% delinger
ViewLayoutSingleDivisionCommandText,%1% deling

ViewLayoutDropMenuCommandToolTip,Skift layout
ViewLayoutEditCommandText,Rediger layouts...
ViewLayoutMgmtFormTitle,Rediger layouts

ViewLayoutEditListText,Layouts:
ViewLayoutEditRowsText,Rækker:
ViewLayoutEditColumnsText,Kolonner:
ViewLayoutEditRestoreDefaultsQuery,Er du sikker på, at du vil gendanne alle standardlayouts?

ViewLayoutClipPlaybackText,Auto
ViewLayoutTooManyDevices,Der kan ikke vises eksempler på alle streams. Det maksimale antal eksempelvisninger er %1%.

#################################################
# System Tree String
#################################################

ChildPanelCloseToolTip,Luk
ChildPanelFocusToolTip,Maksimer
ChildPanelUnfocusToolTip,Gendan ned
 
#################################################
# System Tree String
#################################################

SystemTreeInactiveSearchText,Søg...
SystemObjectPickerItemsText,%1% elementer

#################################################
# Image Panel Strings
#################################################

ImagePanelRegionMaskingAddCommandText,Indstil område
ImagePanelRegionMaskingRemoveCommandText,Slet område
ImagePanelRegionMaskingDrawCommandText,Tegn
ImagePanelSelectAllText,Indstil alle
ImagePanelClearAllText,Slet alle
ImagePanelCameraLabel,Kamera:

ImageContextMenuEndStream,Luk
ImageContextMenuFitToPanel,Tilpas til panel
ImageContextMenuZoomFullWide,Zoom ud, fuld
ImageContextMenuMaximize,Maksimer
ImageContextMenuRestore,Gendan ned
ImageContextMenuReplay30Sec,Afspil igen - 30 sekunder
ImageContextMenuReplay60Sec,Afspil igen - 60 sekunder
ImageContextMenuReplay90Sec,Afspil igen - 90 sekunder
ImagePanelContextMenuSnapshot,Gem snapshot
ImagePanCommandToolTip,Panoreringsværktøj
ImagePanelCloseButtonToolTip,Luk
ImagePanelFocusModeMaximizeToolTip,Maksimer
ImagePanelFocusModeRestoreToolTip,Gendan ned
ImagePanelSnapshotToolTip,Gem snapshot
ImagePanelVolumeOnToolTip,Aflyt
ImagePanelVolumeOffToolTip,Mute
ImagePanelVolumeLevelToolTip,Indstil lydstyrke
ImagePanelDefogModeOffToolTip,Fra
ImagePanelDefogModeOnToolTip,Til
ImagePanelDefogModeAutoToolTip,Auto
ImagePanelDefogLevelToolTip,Angiv niveau for digital afdampning
ImagePanelClientMicrophoneToolTip,Push-to-talk
ImageZoomInCommandToolTip,Zoom ind-værktøj
ImageZoomNoneCommandToolTip,Markør-værktøj
ImageZoomOutCommandToolTip,Zoom ud-værktøj
ImagePanelManualRecordStartToolTip,Start manuel optagelse
ImagePanelManualRecordStopToolTip,Stop manuel optagelse
ImagePanelTriggerDigitalOutputToolTip,Udløs digitalt output
ImagePanelTriggerDigitalOutputSelectTitle,Vælg digitalt output
ImagePanelTriggerDigitalOutputSelectLabel,Vælg det digitale output, der skal udløses:
ImagePanelViewPosToolTip,Vis POS transaktioner
ImagePanelViewPosSelectTitle,Vælg POS kilde
ImagePanelViewPosSelectLabel,Vælg POS kilde, der skal vises:

ImagePanelManualRecordStartError,Der opstod en fejl ved start af optagelsen.
ImagePanelManualRecordStartCommunicationError,Der opstod en fejl ved start af optagelsen.\nServeren understøtter måske ikke manuel optagelse.

ImagePanelManualRecordStopError,Der opstod en fejl ved stop af optagelsen.

ImagePanelArmToolTip,Indkobl panel
ImagePanelDisarmToolTip,Udkobl panel

ImagePanelAlertAckLabel,Kvi
ImagePanelAlertCameraPreviousToolTip,Vis forrige kamera
ImagePanelAlertCameraNextToolTip,Vis næste kamera

ImagePanelSelectDigitalOutputLabel,Vælg digitalt output:

ImagePanelPtzControls,PTZ betjeninger

#################################################
# Analytics Panel Strings
#################################################

AnalyticsMenuTruePerson,Person
AnalyticsMenuFalsePerson,Ikke en person
AnalyticsMenuTrueVehicle,Køretøj
AnalyticsMenuFalseVehicle,Ikke et køretøj
AnalyticsMenuNotUsed,Bruges ikke

!AnalyticsAppearanceSearch,Appearance Search
!AnalyticsAppearanceSearchAddMatch,Add Match
!AnalyticsAppearanceSearchRemoveMatch,Remove Match
!AnalyticsAppearanceSearchRemoveResult,Remove Result
!AnalyticsAppearanceSearchAggregationNone,None
!AnalyticsAppearanceSearchAggregationMinimum,Minimum
!AnalyticsAppearanceSearchAggregationMaximum,Maximum
!AnalyticsAppearanceSearchAggregationMean,Mean


#################################################
# Overlay Strings
#################################################

DisplayGroupHeaderGeneral,Generelt:
MainMenuSubItemOverlays,Billedoverlejninger:
TimeZoneHeaderText,Zone for tidsstempel:
CameraLocationOverlayCommandText,Kameralokation
CameraNameOverlayCommandText,Kameranavn
MotionOverlayCommandText,Bevægelsesaktivitet
RecordSymbolOverlayCommandText,Indikator for optag
FrameTimeOverlayCommandText,Tidsstempel
FrameLiveTimeOverlayCommandText,Live tidsstempel
LicensePlateOverlayCommandText,Nummerplade
SessionDebugOverlayCommandText,Vis sessions fejlfindingsoverlejring
AnalyticsOverlayCommandText,Analysehændelser
DeviceTimeZoneOverlayText,Vis tid for enhed
LocalTimeZoneOverlayText,Vis lokal tid
DisplayAdjustmentSettingsHeaderText,Vis justeringsindstillinger:

#################################################
# Bookmark Strings
#################################################

ContextMenuAddBookmark,Tilføj bookmark

BookmarkDefaultNewName,Nyt bookmark

BookmarkFormTitle,Rediger bookmark
BookmarkFormNameLabel,Navn:
BookmarkFormDeviceLabel,Kameraer:
BookmarkFormDescriptionLabel,Beskrivelse:
BookmarkFormProtectionLabel,Beskyt bookmarkdata
BookmarkFormPrivateLabel,Bookmark er privat
BookmarkFormTimeRangeLabel,Tidsområde for bookmark:

BookmarkFormSavingLabel,Gemmer...

BookmarkPopupText,Start: %1%\nSlut: %2%\nSite: %3%\nOprettet af: %4%\nOprettet den: %5%\n\n%6%
BookmarkPopupExportText,Eksport
BookmarkPopupEditText,Rediger
BookmarkPopupRemoveText,Slet

BookmarkRemoveQuery,Er du sikker på, at du vil slette bookmark '%1%'?

BookmarkTooLongError,Beskyttede bookmarks kan ikke have mere en en dags varighed.
BookmarkSaveError,Bookmark kunne ikke gemmes.
BookmarkNoDevicesError,Mindst ét kamera skal vælges for at gemme bookmark'et.

WebBookmarkPanelNameColumn,Navn
WebBookmarkPanelStartTimeColumn,Starttidspunkt 
WebBoomarkPanelTimeRangeError,Tidsrummet for bogmærket må ikke slutte, før det begynder. Rediger stattidspunktet for tidsrummet
WebBoomarkPanelTimeRangeInputInvalid,Tidspunktet er ugyldigt. Rediger de felter, der er fremhævet med rødt.

#################################################
# Transport Strings
#################################################

TransportFormPauseToolTip,Pause
TransportFormPlayToolTip,Afspil
TransportFormStepBackwardToolTip,Trin tilbage
TransportFormStepForwardToolTip,Trin frem
DateTimeJumpButtonToolTip,Hop til dato/tid


#################################################
# Timeline Strings
#################################################

TimelineDataLeftToolTip,Gå til forrige hændelse
TimelineDataRightToolTip,Gå til næste hændelse
TimelineLeft12HourToolTip,Gå 12 timer tilbage
TimelineLeft15MinToolTip,Gå 15 minutter tilbage
TimelineLeft15SecToolTip,Gå 15 sekunder tilbage
TimelineLeft30MinToolTip,Gå 30 minutter tilbage
TimelineLeft30SecToolTip,Gå 30 sekunder tilbage
TimelineLeft3HourToolTip,Gå 3 timer tilbage
TimelineLeft5MinToolTip,Gå 5 minutter tilbage
TimelineLeft5SecToolTip,Gå 5 sekunder tilbage
TimelineLeft6HourToolTip,Gå 6 timer tilbage
TimelineLeftDayToolTip,Gå en dag tilbage
TimelineLeftHourToolTip,Gå en time tilbage
TimelineLeftMinToolTip,Gå et minut tilbage
TimelineLeftMonthToolTip,Gå en måned tilbage
TimelineLeftQuarterToolTip,Gå 3 måneder tilbage
TimelineLeftSecToolTip,Gå et sekund tilbage
TimelineLeftWeekToolTip,Gå en uge tilbage
TimelineLeftYearToolTip,Gå et år tilbage
TimelineRight12HourToolTip,Gå 12 timer frem
TimelineRight15MinToolTip,Gå 15 minutter frem
TimelineRight15SecToolTip,Gå 15 sekunder frem
TimelineRight30MinToolTip,Gå 30 minutter frem
TimelineRight30SecToolTip,Gå 30 sekunder frem
TimelineRight3HourToolTip,Gå 3 timer frem
TimelineRight5MinToolTip,Gå 5 minutter frem
TimelineRight5SecToolTip,Gå 5 sekunder frem
TimelineRight6HourToolTip,Gå 6 timer frem
TimelineRightDayToolTip,Gå en dag frem
TimelineRightHourToolTip,Gå en time frem
TimelineRightMinToolTip,Gå et minut frem
TimelineRightMonthToolTip,Gå en måned frem
TimelineRightQuarterToolTip,Gå 3 måneder frem
TimelineRightSecToolTip,Gå et sekund frem
TimelineRightWeekToolTip,Gå en uge frem
TimelineRightYearToolTip,Gå et år frem
TimelineZoomInToolTip,Zoom ind
TimelineZoomOutToolTip,Zoom ud
TimelineSynchronizeToolTip,Synkroniser med overordnet afspilning
ContextMenuCenterOnMarker,Centrer på markør
ContextMenuCenterOnMarkerShortcut,Ctrl+C


#################################################
# PTZ strings
#################################################

ShowPTZPanelCommandToolTip,PTZ betjeninger
PTZPanelTitle,PTZ betjeninger
PTZPanLeftToolTip,Panorer til venstre
PTZPanRightToolTip,Panorer til højre
PTZTiltUpToolTip,Vip op
PTZTiltDownToolTip,Vip ned
PTZZoomLabel,Zoom
PTZZoomInLabel,Zoom ind
PTZZoomOutLabel,Zoom ud
PTZZoomInToolTip,Zoom ind
PTZZoomOutToolTip,Zoom ud
PTZIrisLabel,Iris
PTZIrisOpenLabel,Åbn Iris
PTZIrisCloseLabel,Luk Iris
PTZIrisOpenToolTip,Åbn Iris
PTZIrisCloseToolTip,Luk Iris
PTZFocusLabel,Fokus
PTZFocusInLabel,Fokus på afstand
PTZFocusOutLabel,Fokus tæt på
PTZFocusFarToolTip,Fokus på afstand
PTZFocusNearToolTip,Fokus tæt på
PTZPresetGoToolTip,Gå til forudindstilling
PTZPresetSetToolTip,Indstil forudindstilling
PTZPatternRunToolTip,Kør mønster
PTZPatternRecordStartToolTip,Start optagelsesmønster
PTZPatternRecordStopToolTip,Stop optagelsesmønster
PTZPresetsLabel,Forudindstillinger
PTZPatternsLabel,Mønstre
PTZToursLabel,Omgange
PTZTourRunToolTip,Kør omgang
PTZTourStopToolTip,Stop omgang
PTZTourEditToolTip,Rediger omgang
PTZLockedMessage,PTZ betjeningerne på dette kamera er blevet låst af bruger \n'%1%' på computer %2%.
PTZLockedMessageNoDetails,PTZ betjeningerne på dette kamera kunne ikke låses.
PTZLockToolTip,Lås PTZ betjeninger
PTZUnlockToolTip,Oplås PTZ betjeninger
PTZLockedByOtherToolTip,Låst af %1%
PTZOverrideLockToolTip,Tilsidesæt låsen for %1%
PTZOverriddenLockMessage,Låsen er tilsidesat af %1%
PTZSpeedBarLabel,Hastighed
PTZMenuLabel,Menu
PTZMenuToolTip,Vis OSD menu
PTZHomeToolTip,Gå til hjem-forudindstilling
PTZAuxLabel,Aux

PTZAuxStartToolTip,Start Aux-kommando
PTZAuxStopToolTip,Stop Aux kommando
PTZSetPresetNameFormHeader,Forudindstil navn
PTZSetPresetNameFormText,Forudindstil navn:
PTZSetPresetHomeText,Indstil som hjem-forudindstilling
PTZSetPresetNameErrorNameExists,Dette forudindstillede navn findes allerede.
PTZSetPresetNameErrorNameTooLong,Dette forudindstillede navn indeholder for mange tegn.
PTZSetPresetNameErrorGeneral,Enheden kunne ikke indstille det forudindstillede navn.
PTZSetPresetDefaultName,Forudindstil
PTZSetPresetTourModifyWarning,Følgende omgang(e) bliver påvirket, hvis denne forudindstilling ændres: %1%
PTZTourFormTitle,Rediger PTZ omgang
PTZTourNameText,Navn:
PTZTourPauseDurationText,Omgangs pausevarighed:
PTZTourPauseDurationString,%1% min
PTZTourModeText,Omgangsmåde:
PTZTourModeSequentialString,Sekventiel
PTZTourModeRandomString,Vilkårlig
PTZTourIdleStartTimeText,Standardomgangs starttid for inaktivitet:
PTZTourIdleStartTimeString,%1% min
PTZTourDefaultText,Indstil som standardomgang
PTZTourSpeedString,%1%%%
PTZTourDwellTimeString,%1% sek
PTZTourPresetColumnText,Forudindstil
PTZTourSpeedColumnText,Flyt hastighed
PTZTourDwellTimeColumnText,Vis tid
PTZTourAddStopToolTip,Tilføj forudindstilling
PTZTourRemoveStopToolTip,Fjern forudindstilling
PTZTourMoveStopUpToolTip,Flyt forudindstilling op
PTZTourMoveStopDownToolTip,Flyt forudindstilling ned
PTZTourDefaultName,Ny omgang
PTZTourNoNameError,Omgangsnavn må ikke være tomt.
PTZTourNameTooLongError,Omgangsnavn '%1%' er for langt.

#################################################
# Time range strings
#################################################

TimeRangeFrom,Fra:
TimeRangeNoDuration,Tid:
TimeRangeTo,Til:
TimeRangeDuration,Varighed:
TimeRangeDurationDays,Dage
TimeRangeDurationHours,Timer
TimeRangeDurationMinutes,Minutter
TimeRangeDurationSeconds,Sekunder


#################################################
# System Explorer strings
#################################################

DeviceStatusSuffixConnected,Forbindelse oprettet
DeviceStatusSuffixStatusUpgrading,Opgraderer
DeviceStatusSuffixStandby,Standby (P%1%)
DeviceStatusSuffixStandbyNoPriority,Standby
DeviceStatusSuffixFailoverActive,Forbindelse oprettet
DeviceStatusSuffixStatusNotPresent,Ikke til stede
DeviceStatusSuffixStatusTimedOut,Ikke til stede
DeviceStatusSuffixStatusIncompatible,Ikke kompatibel
DeviceStatusSuffixStatusNetwork,Netværksfejl
DeviceStatusSuffixStatusFailed,Fejl
DeviceStatusSuffixStatusLicense,Fejl Licensfejl
DeviceStatusSuffixStatusResourceInUse,Ikke tilgængelig
DeviceStatusSuffixStatusAuthFailed,Brugergodkendelse mislykket
DeviceStatusSuffixStatusNotAuthorized,Ikke godkendt
DeviceStatusSuffixGeneralError,Fejl
DeviceStatusSuffixDisconnected,Forbindelse ikke oprettet
DeviceStatusSuffixNotAquirable,Kan ikke hentes
DeviceStatusSuffixNotPanomorph,Panomorph-billede blev ikke detekteret

