#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Bezárás
CameraNetworkIPAddressLabel,IP-cím:
CameraNetworkIPMaskLabel,Alhálózati maszk:
CameraNetworkGatewayLabel,Átjáró:
CameraNetworkSoapPortLabel,Vezérlőport:
CameraNetworkSslPortLabel,HTTPS-port:
CameraNetworkRtspPortLabel,RTSP-port:
CameraNetworkPortDefaultLabel,Alapértelmezett: %1%
CameraNetworkMulticastEnableLabel,Multicast engedélyezése
CameraNetworkMulticastIpAddrLabel,IP-cím:
CameraNetworkMulticastPortStartLabel,Bázisport:
CameraNetworkMulticastTtlLabel,TTL:
CameraNetworkMulticastPortRangeLabel,Használt portok:
CameraNetworkMulticastPortRange,%1%–%2%


#################################################
# Image and Display Setup Strings
#################################################

ImageAcquisitionSetupText,Kép és megjelenítés
ImageAcquisitionConstExposureLabel,Expozíció:
ImageAcquisitionUseExposureExposureLabel,Képbeállítások szinkronizálása az összes fejjel
ImageAcquisitionAutoModeText,Automatikus
Exposure2000000000,2 s (2000 ms)
Exposure1000000000,1 s (1000 ms)
Exposure500000000,1/2 s (500 ms)
Exposure250000000,1/4 s (250 ms)
Exposure125000000,1/8 s (125 ms)
Exposure66666667,1/15s (67 ms)
Exposure33333333,1/30 s (33 ms)
Exposure20000000,1/50 s (20 ms)
Exposure16666667,1/60 s (17 ms)
Exposure10000000,1/100 s (10 ms)
Exposure8000000,1/125 s (8 ms)
Exposure4000000,1/250 s (4 ms)
Exposure2000000,1/500 s (2 ms)
Exposure1000000,1/1000 s (1 ms)
Exposure500000,1/2000 s (0,5 ms)
Exposure250000,1/4000 s (0,25 ms)
Exposure125000,1/8000 s (0,12 ms)
Exposure66667,1/15 000 s (0,067 ms)
Exposure33333,1/30 000 s (0,033 ms)
Exposure16667,1/60 000 s (0,017 ms)
ExposureVariable,%1% s (%2% ms)
ImageAcquisitionIrisLabel,Írisz:
ImageAcquisitionIrisOpenText,Nyitott
ImageAcquisitionIrisClosedText,Zárt
ImageAcquisitionIrisControlledText,Automatikus
ImageAcquisitionIrisValue,%1% db
ImageAcquisitionDayNightModeLabel,Nappali/éjszakai üzemmód:
ImageAcquisitionDayNightModeOnText,Éjszakai üzemmód
ImageAcquisitionDayNightModeOffText,Nappali üzemmód
ImageAcquisitionNightModeSettingsText,Éjszakai üzemmód beállításai
ImageAcquisitionDayModeSettingsText,Nappali üzemmód beállításai
ImageAcquisitionCameraModeAndSettingsActiveText,A következők aktívak: %1%
ImageAcquisitionCameraModeAndSettingsInactiveText,A következők inaktívak: %1%
ImageAcquisitionDayNightModeAutoText,Automatikus
ImageAcquisitionDayNightThresholdLabelText,Nappali/éjszakai küszöb:
ImageAcquisitionDayNightThresholdValueText,%1$+0.2f EV
ImageAcquisitionDayNightThresholdMinTooltipText,Minimális: %1$+0.2f EV
ImageAcquisitionDayNightThresholdMaxTooltipText,Maximális: %1$+0.2f EV
ImageAcquisitionDayNightThresholdLightLevelText,%1$+0.2f EV
CameraSetupIlluminationFreqLabelText,Vibrálásvezérlés:
ImageAcquisitionIlluminationSync60,60 Hz
ImageAcquisitionIlluminationSync50,50 Hz
ImageAcquisitionIlluminationSyncNone,Nincs
ImageAcquisitionBacklightCompensationEnabled,Háttérfény-kompenzáció engedélyezése
ImageAcquisitionEnableNightModeExposure,Éjszakai üzemmód beállításainak engedélyezése
ImageAcquisitionBacklightCompensationLabel,Háttérfény-kompenzáció:
ImageAcquisitionWDREnabled,Széles dinamikatartomány engedélyezése
ImageAcquisitionWDRLabel,Széles dinamikatartomány-szint:
ImageAcquisitionAdaptiveIrEnabled,Adaptív IR-kompenzáció engedélyezése
ImageAcquisitionMaxExposureLabel,Maximális expozíció:
ImageAcquisitionGainLabel,Erősítés:
ImageAcquisitionMaxGainLabel,Maximális erősítés:
ImageAcquisitionGainValue,%1% db
ImageAcquisitionExposurePriorityLabel,Prioritás:
ImageAcquisitionExposurePriorityFrameRate,Képátviteli sebesség
ImageAcquisitionExposurePriorityExposure,Expozíció
ImageAcquisitionSharpeningLabel,Élesítés:
ImageAcquisitionBrightnessLabel,Fényerő:
ImageAcquisitionSaturationLabel,Telítettség:
ImageAcquisitionContrastLabel,Kontraszt:
ImageAcquisitionRotationLabel,Képforgatás:
ImageAcquisitionRotation0,Nincs
ImageAcquisitionRotation90,90 fokos
ImageAcquisitionRotation180,180 fokos
ImageAcquisitionRotation270,270 fokos
ImageAcquisitionZoomLabel,Nagyítás/kicsinyítés:
ImageAcquisitionZoomInToolTip,Nagyítás
ImageAcquisitionZoomOutToolTip,Kicsinyítés
ImageAcquisitionFocusAutoLabel,Folyamatos fókusz
ImageAcquisitionFocusManualLabel,Kézi fókusz
ImageAcquisitionDefogModeLabel,Képtisztító üzemmód:
ImageAcquisitionDefogLevelLabel,Képtisztító címke:
CameraSetupAutoWhiteBalanceYesLabel,Automatikus fehéregyensúly
CameraSetupAutoWhiteBalanceNoLabel,Egyéni fehéregyensúly
RGBTrackBarsControlBlue,Kék
RGBTrackBarsControlRed,Vörös:
FocusInfinityLabel,Végtelen
FocusInfinityToolTip,Fókuszálás a végtelenre
FocusZeroToolTip,Fókuszálás a nullára
FocusOneShotLabel,Automatikus fókusz
FocusOneShotToolTip,Automatikus fókusz
FocusNearToolTip,Közeli fókusz
FocusFarToolTip,Távoli fókusz
FocusLabel,Fókusz:
FocusManualModeWarningLabel,Az objektív kézi fókuszra van beállítva. A hibátlan működés biztosítása érdekében állítsa át automatikus fókuszra.
FocusZeroLabel,0
HistogramText,Hisztogram
ExposureLabel,Expozíció: %1% ms (1/%2$0.3f másodpercenként)
CameraPerspectiveCeiling,Mennyezet
CameraPerspectiveWall,Fal
CameraPerspectiveFloor,Padló
CameraSetupControlSettingsGroupBoxHeader,Vezérlés beállításai
CameraSetupDisplaySettingsGroupBoxHeader,Megjelenítési beállítások
CameraSetupToggleAutoContrastToolTip,Automatikus kontrasztbeállítás be-/kikapcsolása
CameraSetupDefogModeOff,Ki
CameraSetupDefogModeOn,Be
CameraSetupDefogModeAuto,Automatikus


#################################################
# Compression and Image Rate Setup Strings
#################################################

ImageQualitySetupPageText,Tömörítés és képátviteli sebesség
ImageQualityCompressionTypeLabel,Formátum:
ImageQualityCompressionTypeJpeg2k,JPEG 2000
ImageQualityCompressionTypeJpeg,MJPEG
ImageQualityCompressionTypeMpeg4,MPEG4
ImageQualityCompressionTypeH264,H.264
ImageQualityVbrCbrLabel,Tömörítés típusa:
ImageQualityCbrLabel,Állandó átviteli sebesség
ImageQualityVbrLabel,Változó átviteli sebesség
ImageQualityFrameRateLabel,Képátviteli sebesség:
ImageQualityQualityLabel,Képminőség:
ImageQualityPrimaryStreamLabel,Nagy sávszélességű adatfolyam
ImageQualityMultiStreamingLabel,Másodlagos adatfolyam engedélyezése
ImageQualityLowBandwidthStreamingLabel,Kis sávszélességű adatfolyam engedélyezése
ImageQualityIdleSceneModeLabel,Inaktív helyszín üzemmód engedélyezése
ImageQualityStreamingProfileLabel,Rögzítési profil:
ImageQualityPostMotionDelayLabel,Mozgás utáni késleltetés:
ImageQualityPostMotionDelaySuffixLabel,másodperc
ImageQualityRecordRatioLabel,Rögzítés sebessége:
ImageQualityRecordRatioFull,Teljes sebesség (%1$0.2f kép/mp)
ImageQualityRecordRatio,%1% sebesség (%2$0.2f kép/mp)
ImageQualityRecordPeriodLabel,Egy kép minden:
ImageQuality2cif4cifLabel,Felbontás:
ImageQuality4cifLabel,4CIF
ImageQuality2cifLabel,2CIF
ImageQualityResolutionLabel,Felbontás:
ImageQualityConstBitRateLabel,Átviteli sebesség:
ImageQualityConstBitRatePostLabel,kb/s
ImageQualityMaxBitRateLabel,Maximális átviteli sebesség:
ImageQualityMaxBitRatePostLabel,kb/s
ImageQualityBitRatePriorityLabel,Átviteli sebesség prioritása:
ImageQualityBitRatePriorityFrameRate,Képátviteli sebesség
ImageQualityBitRatePriorityQuality,Képminőség
ImageQualityBitRatePriorityNone,Kiegyensúlyozott
ImageQualityKeyFrameIntervalLabel,Kulcsképkocka időköze:
ImageQualityKeyFramePeriodLabel,Kulcsképkocka időszaka:
ImageQualityKeyFrameIntervalPostLabel,másodperc
ImageQualityKeyFrameIntervalFramesLabel,Kulcsképkocka időköze:
ImageQualityKeyFrameIntervalFramesPostLabel,képkockák
ImageQualityKeyFrameIntervalToSecondsLabel,%1$0.2f másodperc
ImageQualityDataRateLabel,Sávszélesség:
ImageQualityDataRateValue,%1$.1f Mb/s
ImageQualityHigh,%1% (Nagy)
ImageQualityDefault,%1% (Alapértelmezett)
ImageQualityLow,%1% (Kicsi)
ImageQualityIps,%1% kép/mp
ImageQualityRecordedStatus,Élő és rögzített videóhoz
ImageQualityNegRecordedStatus,Csak élő videóhoz



#################################################
# Image Dimensions Setup Strings
#################################################

ROISetupPageText,Képméretek
ROISetupPageLeftLabel,Bal:
ROISetupPageTopLabel,Felső:
ROISetupPageWidthLabel,Szélesség:
ROISetupPageHeightLabel,Magasság:


#################################################
# Motion Detection Setup Strings
#################################################

MotionDetectionSetupText,Mozgásérzékelés
MotionDetectionAreaGroupBoxText,Mozgásérzékelési terület:
MotionDetectionHighLabel,Magas
MotionDetectionLowLabel,Alacsony
MotionDetectionPostRecordTime,Mozgás utáni rögzítési idő:
MotionDetectionPreRecordTime,Mozgás előtti rögzítési idő:
MotionDetectionSecondsLabel,másodperc
MotionDetectionSensitivity,Érzékenység:
MotionDetectionThreshold,Küszöb:
MotionDetectionThresholdMotionLabel,Mozgás
MotionDetectionTitleText,Mozgásérzékelés
MotionDetectionIncludeTitle,Beszámított mozgásérzékelési területek
MotionDetectionIncludeItemLabel,%1% beszámított terület
MotionDetectionExcludeTitle,Kizárt mozgásérzékelési területek
MotionDetectionExcludeItemLabel,%1% kizárt terület
MotionDetectionAddButtonText,Hozzáadás
MotionDetectionRemoveButtonText,Eltávolítás
MotionDetectionNoMaskWarning,Nem lett kiválasztva mozgásérzékelési maszk.  A mozgásérzékelési maszk beállításához kattintson a „Terület beállítása” vagy az „Összes beállítása” elemre.
MotionDetectionMaxIncludeRectsError,Elérte a beszámított mozgásérzékelési területek maximális számát.
MotionDetectionMaxExcludeRectsError,Elérte a kizárt mozgásérzékelési területek maximális számát.
MotionDetectionMaxTotalRectsError,Elérte a beszámított és kizárt mozgásérzékelési területek maximális számát.

#################################################
# Privacy Zones Setup Strings
#################################################

PrivacyZonesSetupPageText,Privát zónák
PrivacyZonesListLabel,Privát zónák:
PrivacyZonesAddButtonText,Hozzáadás
PrivacyZonesRemoveButtonText,Törlés
PrivacyZoneName,%1% privát zóna
PrivacyZoneFullMessage,Legfeljebb %1% privát zóna hozható létre.
PrivacyZoneCommitQuery,Kívánja menteni a(z) %1% módosításait?
PrivacyZoneDeleteQuery,Törli a következőt: %1%?

#################################################
# Analytic Motion Detection Strings
#################################################

AnalyticMotionDetectionSetupPageText,Elemző mozgásérzékelés
AnalyticMotionDetectionSetupPageTitleText,Elemző mozgásérzékelés
AnalyticMotionDetectionImagePanelAddRod,Kizárási terület hozzáadása
AnalyticMotionDetectionImagePanelRemoveRod,Kizárási terület törlése
AnalyticMotionDetectionImagePanelResetRoi,Belefoglalási terület visszaállítása
AnalyticMotionDetectionHomePositionWarning,A beállítás csak a kezdőpozícióra vonatkozik.


AnalyticMotionDetectionImagePanelMinimum,Min.
AnalyticMotionDetectionImagePanelMaximum,Max.
AnalyticMotionDetectionImagePanelLow,Alacsony
AnalyticMotionDetectionImagePanelHigh,Magas

AnalyticMotionDetectionEventNameLabel,Eseménynév

AnalyticMotionDetectionObjectTypeLabel,Objektumtípusok:
AnalyticMotionDetectionPersonLabel,Személy
AnalyticMotionDetectionVehicleLabel,Jármű

AnalyticMotionDetectionSensitivityLabel,Érzékenység:
AnalyticMotionDetectionDetectionTimeLabel,Küszöbidő:
AnalyticMotionDetectionNumObjects,Objektumok száma:

AnalyticMotionDetectionPreMotionRecordTimeLabel,Mozgás előtti rögzítési idő:
AnalyticMotionDetectionPostMotionRecordTimeLabel,Mozgás utáni rögzítési idő:

AnalyticMotionDetectionSecondsLabel,másodperc
AnalyticMotionDetectionSecondsParamLabel,%1% mp

AnalyticMotionDetectionDetectionTimoutLabel,Időtúllépés:

AnalyticMotionDetectionModePixel,Pixel mozgás érzékelése
AnalyticMotionDetectionModeAnalytic,Azonosított objektum mozgásának érzékelése

AnalyticMotionDetectionImagePanelReverseBeam,Ellenkező irányú 
AnalyticMotionDetectionImagePanelBidirectionalBeam,Kétirányú

#################################################
# Digital Inputs & Outputs Setup Strings
#################################################

DigitalIoMgmtSetupPageText,Digitális bemenetek és kimenetek
DigitalInputListText,Digitális bemenetek:
DigitalOutputListText,Digitális kimenetek:
DigitalInputChannelLabel,%1% digitális bemenet
DigitalInputMaxRecordTimeText,Rögzítés időtartama:
DigitalInputNameLabelText,Név:
DigitalOutputNameLabelText,Név:
DigitalInputPolarityLabelText,Áramkör állapota:
DigitalInputPolarityHigh,Normál esetben nyitott
DigitalInputPolarityLow,Normál esetben zárt
DigitalInputPostRecordTimeUnlimitedText,Esemény követése
DigitalInputPostRecordTimeLimitedText,Maximális idő:
DigitalInputPreBufferLabel,Esemény előtti rögzítési idő:
DigitalInputPostBufferLabel,Esemény utáni rögzítési idő:
DigitalInputCameraText,Kapcsolódás a kamerá(k)hoz:
DigitalOutputChannelLabel,%1% digitális kimenet
DigitalOutputNormalCircuitStateClosedLabel,Normál esetben zárt
DigitalOutputNormalCircuitStateOpenLabel,Normál esetben nyitott
DigitalOutputManualCameraText,Kapcsolódás a kamerá(k)hoz:
DigitalOutputManualActivationLabel,Eseményindító viselkedése:
DigitalOutputManualActivationText,Aktiválás
DigitalOutputManualPulseText,Impulzus
DigitalOutputManualActivationDurationText,Időtartam:
DigitalOutputManualActivationOnlyDurationText,Eseményindító időtartama:
DigitalOutputManualPulsePeriodText,Időszak:
DigitalOutputManualPulseOnlyPeriodText,Eseményindító időköze:
DigitalOutputManualPulsePeriodSuffix,ms
DigitalOutputManualPulseDutyCycleText,Működési ciklus:
DigitalOutputManualPulseOnlyDutyCycleText,Eseményindító működési ciklusa:
DigitalOutputManualPulseDutyCycleSuffix,%%
DigitalOutputManualPulseRepeatText,Ismétlések száma:
DigitalOutputManualPulseOnlyRepeatText,Eseményindító ismétléseinek száma:


#################################################
# Audio Setup Strings
#################################################

AudioSetupPageText,Mikrofon
AudioSetupPageDeviceListHeader,Mikrofonbemenetek:
AudioSetupPageChannelSuffix,%1% hangbemeneti csatorna
AudioSetupPageNameLabel,Név:
AudioSetupPageSourceTypeLabel,Forrás:
AudioSetupPageSourceTypeMicrophone,Mikrofon
AudioSetupPageSourceTypeLine,Vonal
AudioSetupPageGainLabel,Erősítés:
AudioSetupPageGainItemLabel,%1% dB
AudioSetupPageEnableLabel,Engedélyezés
AudioSetupPageDeviceLabel,Kapcsolódás a kamerá(k)hoz:
AudioSetupPageConflictMessage,A(z) '%1%' kamera jelenleg egy másik mikrofonbemenethez kapcsolódik. Ha folytatja, ez a kapcsolat megszűnik.\n\nBiztosan folytatja?
AudioSetupPageListenLabel,Hallgatás
AudioSetupPageStopLabel,Némítás
AudioSetupPageListenNoCamera,Ez a mikrofonbemenet nem kapcsolódik egyetlen kamerához sem.\n\nA mikrofonbemenet hallgatásához először ki kell választania az\nösszekapcsolandó kamerát, majd kattintson az Alkalmaz gombra.
AudioSetupPageEnabledNoMappingError,A(z) '%1%' mikrofonbemenetet az engedélyezése előtt hozzá kell kapcsolni egy kamerához.
AudioSetupPageNoLinkWarning,Egyetlen kamera sem kapcsolódik ehhez a mikrofonbemenethez.

#################################################
# Device Speaker Setup Strings
#################################################

DeviceSpeakerSetupPageText,Hangszóró
DeviceSpeakerSetupPageDeviceListHeader,Hangszórókimenetek:
DeviceSpeakerSetupPageChannelSuffix,%1% hangkimeneti csatorna
DeviceSpeakerSetupPageNameLabel,Név:
DeviceSpeakerSetupPageRecordLabel,Hangszórókimenet rögzítése
DeviceSpeakerSetupPageVolumeLabel,Hangerő:
DeviceSpeakerSetupPageEnableLabel,Engedélyezés
DeviceSpeakerSetupPageDeviceLabel,Kapcsolódás a kamerá(k)hoz:
DeviceSpeakerSetupPageEnabledNoMappingError,A(z) '%1%' hangszórót az engedélyezése előtt hozzá kell kapcsolni egy kamerához.
DeviceSpeakerSetupPageNoLinkWarning,Egyetlen kamera sem kapcsolódik ehhez a hangszóróhoz.
DeviceSpeakerLevelLabel,Mikrofon jelszintje:

#################################################
# Analytic Channel Setup Strings
#################################################

AnalyticChannelSetupPageText,Videó analitika konfigurálása
AnalyticChannelSetupPageCameraLink,Kapcsolódás a kamerához:

AnalyticChannelSetupErrorLinkExceedPixelLimit,A kiválasztott kamera felbontása túl nagy ehhez az eszközhöz. 
AnalyticChannelSetupErrorLinkNoValidStream,A kiválasztott kamera nem rendelkezik érvényes videofolyammal ehhez az eszközhöz.
AnalyticChannelSetupErrorLinkDeviceNotFound,A kamera csatlakoztatása nem sikerült. A kamera nem található. 
AnalyticChannelSetupErrorLinkFail,A kamera csatlakoztatása nem sikerült.
AnalyticChannelSetupErrorLinkRemoveFail,A kamera leválasztása nem sikerült. 
AnalyticChannelSetupErrorLinkAlreadyExists,A kiválasztott kamera már egy másik videó analitika eszközhöz csatlakozik.

#################################################
# Video Analytics Configuration Strings
#################################################

AnalyticConfigurationLocationLabel,Hely:
AnalyticConfigurationLocationOutdoor,Kültéri
AnalyticConfigurationLocationIndoor,Nagy beltéri terület
AnalyticConfigurationLocationIndoorOverhead,Beltéri, magasban
AnalyticConfigurationLocationOutdoorHighSensitivity,Nagy kültéri érzékenység

AnalyticConfigurationSelfLearningEnable,Öntanulás engedélyezése
AnalyticConfigurationSelfLearningReset,Öntanulás visszaállítása
AnalyticConfigurationSelfLearningResetConfirm,A jelenet újratanulása több órát vesz igénybe.  Folytatja?
AnalyticConfigurationSelfLearningProgress,Öntanulás állapota:
AnalyticConfigurationTamperingSensitivity,Szabotázsérzékenység:

AnalyticConfigurationMaximumRegionsOfDisinterest,Elérte a kizárási területek maximális számát.

AnalyticConfigurationNoiseFilterEnable,Zajszűrő engedélyezése

AnalyticConfigurationCameraTypeLabel,Kamera típusa:
AnalyticConfigurationCameraTypeDayAndNight,Éjjel-nappal
AnalyticConfigurationCameraTypeColor,Színes
AnalyticConfigurationCameraTypeBlackAndWhite,Fekete-fehér
AnalyticConfigurationCameraTypeThermal,FLIR

AnalyticEventConfigurationEventConfigLabel,Analitikaiesemény-konfigurációk:

AnalyticConfigurationLinkedDeviceLabel,Összekapcsolt kamera:
AnalyticConfigurationLinkedDeviceNone,Nincs

AnalyticEventConfigurationEventName,Név:
AnalyticEventConfigurationEventEnabled,Az esemény engedélyezve van
AnalyticEventConfigurationEventDisabled,Az esemény le van tiltva
AnalyticEventConfigurationEventObjectTypes,Objektumtípusok:
AnalyticEventConfigurationEventActivityType,Tevékenység:
AnalyticEventConfigurationEventDetectionTime,Küszöbidő:
AnalyticEventConfigurationEventSensitivity,Érzékenység:
AnalyticEventConfigurationAddButton,Hozzáadás
AnalyticEventConfigurationEditButton,Szerkesztés
AnalyticEventConfigurationDeleteButton,Törlés

AnalyticEventConfigurationShowAdvancedOptions,Speciális beállítások megjelenítése
AnalyticEventConfigurationHideAdvancedOptions,Speciális beállítások elrejtése

AnalyticEventConfigurationMinObjectCount,Objektumok minimális száma
AnalyticEventConfigurationMaxObjectCount,Objektumok maximális száma

AnalyticEventConfigurationEnabledDirectionOfTravel,Tiltott irány:

AnalyticEventConfigurationDetectionClassUnknown,Ismeretlen
AnalyticEventConfigurationDetectionClassPerson,Személy
AnalyticEventConfigurationDetectionClassVehicle,Jármű
AnalyticEventConfigurationDetectionClassSuspicious,Gyanús
AnalyticEventConfigurationDetectionClassBoat,Csónak

AnalyticEventConfigurationEventEnable,Engedélyezve

AnalyticEventConfigurationNameChangeWarning,Az elemzéskonfiguráció nevének megváltoztatása megsérti a társított szabályokat.  Folytatja?
AnalyticEventConfigurationSaveFailureMessage,Hiba történt az analitikai konfiguráció mentése során.
AnalyticEventConfigurationDuplicateNameChangeError,Már létezik ilyen nevű analitikai esemény ezen az eszközön.


#################################################
# Alarm Monitoring Strings
#################################################

AlarmPanelTitle,Riasztások

AlarmActiveCountLabel,%1% riasztás aktív
AlarmAssignedCountLabel,%1% riasztás lett hozzárendelve másokhoz
AlarmAssignedToMeCountLabel,%1% riasztás lett Önhöz rendelve

AlarmActiveFilter,Aktív riasztások
AlarmAssignedToYouFilter,Hozzám rendelt riasztások
AlarmAssignedToOtherFilter,Másokhoz rendelt riasztások
AlarmAcknowledgedFilter,Nyugtázott riasztások
AlarmTopFilter,Legfontosabb riasztások

AlarmNoneAvailableWarning,Nincsenek figyelmet igénylő riasztások

AlarmPanelAlarmListTitle,Riasztások
AlarmPanelAssignedListTitle,Hozzárendelt riasztások
AlarmPanelHistoryTitle,Riasztást indító események
AlarmPanelLiveDisplayTimeText,Élő
AlarmPanelAckTitle,Riasztás nyugtázása
AlarmPanelAckLabel,Nyugtázás
AlarmPanelClaimLabel,Riasztás hozzárendelése
AlarmPanelUnclaimLabel,Riasztás-hozzárendelés törlése
AlarmPanelViewLabel,Megnyitás nézetben
AlarmPanelPixelSearchLabel,Riasztás keresése
AlarmPanelExportLabel,Riasztás exportálása
AlarmPanelPurgeLabel,Riasztás törlése
AlarmPanelBookmarkLabel,Riasztás könyvjelzőzése


AlarmPanelNameColumn,Név
AlarmPanelPriorityColumn,Prioritás
AlarmPanelTimeColumn,Idő
AlarmPanelStatusColumn,Állapot

AlarmStatusAcknowledged,Nyugtázva
AlarmStatusAutoAcknowledged,Automatikusan nyugtázva
AlarmStatusActive,Aktív
AlarmStatusAssigned,Hozzárendelve a következőhöz: %1%
AlarmStatusAssignedToMe,Hozzárendelve

AlarmAckTitle,Riasztás nyugtázása
AlarmAckNoteLabel,Megjegyzés:
AlarmAckYesLabel,Igen
AlarmAckNoLabel,Nem
AlarmAckNoteRequiredText,A riasztás nyugtázásához megjegyzést kell fűzni.
AlarmAckAckBtnLabel,Nyugtázás

AlarmAckDigitalOutputTitle,Digitális kimenet aktiválása
AlarmAckDigitalOutputQuery,Biztosan aktiválja a következőt: '%1%'?
AlarmAckDigitalOutputPluralQuery,Biztosan aktiválja a következőt: '%1%'?
AlarmAckGeneralQuery,Biztosan nyugtázza ezt a riasztást?

AlarmLogActive,Riasztás aktiválva itt: %1%

# Image panel overlay strings
AlarmOverlayTitle,%1% aktív
AlarmOverlayAckToolTip,Riasztás nyugtázása


#################################################
# Search Strings
#################################################

SearchPanelEventTitle,Keresés: Esemény
SearchPanelAppearanceTitle,Keresés: Megjelenés
SearchPanelBookmarkTitle,Keresés: Könyvjelző
SearchPanelPixelTitle,Keresés: Mozgás
SearchPanelLprTitle,Keresés: Rendszámtáblák
SearchPanelThumbnailTitle,Keresés: Miniatűrök
SearchPanelPosTitle,Keresés: POS-tranzakciók
SearchPanelAlarmTitle,Keresés: Riasztások
SearchEventTypeText,Keresendő események:
SearchEventTypeMotion,Mozgási események
SearchEventTypeDigitalInput,Digitális bemeneti események
SearchEventTypeClassifiedObject,Azonosított objektum eseményei
SearchTextSourcesText,Keresendő POS-tranzakcióforrások:
SearchAlarmsText,Keresendő riasztások:
SearchCancelButtonText,Keresés leállítása
SearchPixelThresholdText,Küszöb:
SearchPixelResultSeparateText,Egyedi objektumok
SearchPixelResultJoinText,Kevesebb csatlakozási eredmény, mint
SearchPixelResultJoinPostText,másodperc múlva
SearchPixelSettingsGroupBoxText,Képpontos keresés beállításai:
SearchClassifiedObjectSettingsGroupBoxText,Azonosított objektum keresési beállításai:
SearchClassifiedDwellTimeText,Minimális küszöbidő:
SearchClassifiedResultJoinText,Idő szerint csatlakozott
SearchClassifiedDisplayResultsText,Eredmények megjelenítése másként:
SearchClassifiedDwellTimePostText,másodperc
SearchClassifiedCertaintyText,Megbízhatóság:
SearchPixelModeToolbarButtonText,Pixel mozgás
SearchClassifiedObjectModeToolbarButtonText,Azonosított objektum mozgása
SearchLprGroupBoxText,Rendszámtábla keresési beállításai:
SearchLprPlateText,Rendszámtábla:
SearchLprMinConfidenceLabel,Min. megbízhatóság:
SearchLprMinLabelConfidenceLabel,0%%
SearchLprMaxLabelConfidenceLabel,100%%
SearchLprConfidenceValueSuffixLabel,%%
SearchBookmarkLabel,Keresés:
SearchPosLabel,Szövegkeresés:
SearchPosTextLabel,Szöveg:
SearchPosMethodLabel,Módszer:
SearchPosMatchCaseLabel,Kis- és nagybetűk megkülönböztetése
SearchPosMatchWholeWordLabel,Csak teljes szavak
SearchPosMethodNormal,Normál
SearchPosMethodWildCards,Helyettesítő karakterek
SearchPosMethodRegex,Reguláris kifejezések
SearchApperanceDeviceLabel,Eszköz:
SearchApperanceDateTimeLabel,Dátum és idő:
SearchApperanceReferenceImageLabel,Referenciakép:
SearchResultActionExportText,Az esemény exportálása
SearchResultActionRefineText,Mozgáskeresés végrehajtása az eseményen
SearchResultActionEditBookmarkText,A könyvjelző szerkesztése
SearchResultActionAddBookmarkText,Az esemény megjelölése könyvjelzővel
SearchResultActionAddToNewView,Hozzáadás új nézethez
SearchResultActionIndividualClassifiedObjectSearchText,Egyedi objektumok keresése az eseményben
SearchResultColumnType,Típus
SearchResultColumnCluster,Site
SearchResultColumnServer,Kiszolgáló
SearchResultColumnDevice,Kamera
SearchResultColumnStartDate,Kezdő dátum
SearchResultColumnStartTime,Kezdő időpont
SearchResultColumnStartMs,Kezdő időpont (ms)
SearchResultColumnEndDate,Záró dátum
SearchResultColumnEndTime,Záró időpont
SearchResultColumnEndMs,Záró időpont (ms)
SearchResultColumnDate,Dátum
SearchResultColumnTime,Idő
SearchResultColumnMs,Idő (ms)
SearchResultColumnDuration,Időtartam
SearchResultColumnDigitalInput,Forrás
SearchResultColumnLprString,Rendszámtábla
SearchResultColumnTextSource,Tranzakcióforrás
SearchResultColumnAlarm,Riasztás
SearchResultColumnEvent,Esemény
SearchResultColumnNote,Megjegyzés
SearchResultColumnTitle,Cím
SearchResultColumnObjectId,Azonosító
SearchResultColumnObjectType,Típus
SearchResultColumnCertainty,Megbízhatóság
SearchResultColumnDwellTime,Időtartam
SearchResultColumnPersonCount,Személyek száma
SearchResultColumnVehicleCount,Járművek száma
SearchResultColumnTotalCount,Objektumok száma
SearchResultColumnMaxCertainty,Max. megbízhatóság
SearchResultColumnMinCertainty,Min. megbízhatóság
SearchResultColumnAvgCertainty,Átl. megbízhatóság
SearchResultColumnScore,Pontszám
SearchResultColumnDistance,Távolság
SearchResultColumnTimeDifference,Időkülönbség
SearchResultCountString,%1% eredmény található
SearchResultSearchResultCount,eredmény található
SearchResultInfoDigitalInput,Digitális bemeneti esemény
SearchResultInfoDigitalInputSource,Bemenet:
SearchResultInfoBookmark,Könyvjelző
SearchResultInfoMotion,Mozgási esemény
SearchResultInfoDetectionBox,Azonosított objektum eseménye
SearchResultInfoDetectionBoxSummary,Azonosított objektum összesített eseménye
SearchResultInfoAppearanceSearchSummary,Megjelenés
SearchResultInfoLpr,Rendszámtábla
SearchResultInfoStartTime,Kezdés:
SearchResultInfoEndTime,Befejezés:
SearchResultInfoDurationLabel,Időtartam:
