#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Lukk
RGBTrackBarsControlRed,Rød:
FocusInfinityLabel,Uend
FocusInfinityToolTip,Fokuser til uendelig
FocusZeroToolTip,Fokuser til null
FocusOneShotLabel,Autofokus
FocusOneShotToolTip,Autofokus
FocusNearToolTip,Fokuser nært
FocusFarToolTip,Fokuser langt
FocusLabel,Fokus:
FocusManualModeWarningLabel,Linse satt til manuell fokus. Sett til autofokus for å sikre riktig funksjonalitet.
FocusZeroLabel,0
HistogramText,Histogram
ExposureLabel,Eksponering: %1% ms (1/%2$0.3f av et sekund)
CameraPerspectiveCeiling,Tak
CameraPerspectiveWall,Vegg
CameraPerspectiveFloor,Gulv
CameraSetupControlSettingsGroupBoxHeader,Kontrollinnstillinger
CameraSetupDisplaySettingsGroupBoxHeader,Visningsinnstillinger
CameraSetupToggleAutoContrastToolTip,Automatisk kontrastjustering på/av
CameraSetupDefogModeOff,Av
CameraSetupDefogModeOn,På
CameraSetupDefogModeAuto,Automatisk


#################################################
# Compression and Image Rate Setup Strings
#################################################

ImageQualitySetupPageText,Komprimering og bildefrekvens
ImageQualityCompressionTypeLabel,Format:
ImageQualityCompressionTypeJpeg2k,JPEG 2000
ImageQualityCompressionTypeJpeg,MJPEG
ImageQualityCompressionTypeMpeg4,MPEG4
ImageQualityCompressionTypeH264,H.264
ImageQualityVbrCbrLabel,Komprimeringstype:
ImageQualityCbrLabel,Konstant bitfrekvens
ImageQualityVbrLabel,Variabel bitfrekvens
ImageQualityFrameRateLabel,Bildefrekvens:
ImageQualityQualityLabel,Bildekvalitet:
ImageQualityPrimaryStreamLabel,Høy båndbreddestrøm
ImageQualityMultiStreamingLabel,Aktiver sekundær strøm
ImageQualityLowBandwidthStreamingLabel,Aktiver lav båndbreddestrøm
ImageQualityIdleSceneModeLabel,Aktiver modus for uvirksom scene
ImageQualityStreamingProfileLabel,Opptaksprofil:
ImageQualityPostMotionDelayLabel,Forsinkelse etter bevegelse:
ImageQualityPostMotionDelaySuffixLabel,sekunder
ImageQualityRecordRatioLabel,Opptak med:
ImageQualityRecordRatioFull,Full hastighet (%1$0.2f bps)
ImageQualityRecordRatio,%1% hastighet (%2$0.2f bps)
ImageQualityRecordPeriodLabel,Ett bilde hvert:
ImageQuality2cif4cifLabel,Oppløsning:
ImageQuality4cifLabel,4CIF
ImageQuality2cifLabel,2CIF
ImageQualityResolutionLabel,Oppløsning:
ImageQualityConstBitRateLabel,Bitfrekvens:
ImageQualityConstBitRatePostLabel,kbps
ImageQualityMaxBitRateLabel,Maks. bitfrekvens:
ImageQualityMaxBitRatePostLabel,kbps
ImageQualityBitRatePriorityLabel,Bitfrekvensprioritet:
ImageQualityBitRatePriorityFrameRate,Bildefrekvens
ImageQualityBitRatePriorityQuality,Bildekvalitet
ImageQualityBitRatePriorityNone,Balansert
ImageQualityKeyFrameIntervalLabel,Nøkkelrammeintervall:
ImageQualityKeyFramePeriodLabel,Nøkkelrammeperiode:
ImageQualityKeyFrameIntervalPostLabel,sekunder
ImageQualityKeyFrameIntervalFramesLabel,Nøkkelrammeintervall:
ImageQualityKeyFrameIntervalFramesPostLabel,rammer
ImageQualityKeyFrameIntervalToSecondsLabel,%1$0.2f sekunder
ImageQualityDataRateLabel,Båndbredde:
ImageQualityDataRateValue,%1$.1f Mbps
ImageQualityHigh,%1% (høy)
ImageQualityDefault,%1% (standard)
ImageQualityLow,%1% (lav)
ImageQualityIps,%1% bps
ImageQualityRecordedStatus,For direktevideo og videoopptak
ImageQualityNegRecordedStatus,Bare for direktevideo



#################################################
# Image Dimensions Setup Strings
#################################################

ROISetupPageText,Bildedimensjoner
ROISetupPageLeftLabel,Venstre:
ROISetupPageTopLabel,Topp:
ROISetupPageWidthLabel,Bredde:
ROISetupPageHeightLabel,Høyde:


#################################################
# Motion Detection Setup Strings
#################################################

MotionDetectionSetupText,Bevegelsesdeteksjon
MotionDetectionAreaGroupBoxText,Bevegelsesdeteksjonsområde:
MotionDetectionHighLabel,Høy
MotionDetectionLowLabel,Lav
MotionDetectionPostRecordTime,Opptakstid etter bevegelse:
MotionDetectionPreRecordTime,Opptakstid før bevegelse:
MotionDetectionSecondsLabel,sekunder
MotionDetectionSensitivity,Følsomhet:
MotionDetectionThreshold,Terskel:
MotionDetectionThresholdMotionLabel,Bevegelse
MotionDetectionTitleText,Bevegelsesdeteksjon
MotionDetectionIncludeTitle,Inkluderte bevegelsesdeteksjonsområder
MotionDetectionIncludeItemLabel,Inkludert område %1%
MotionDetectionExcludeTitle,Ekskluderte bevegelsesdeteksjonsområder
MotionDetectionExcludeItemLabel,Ekskludert område %1%
MotionDetectionAddButtonText,Legg til
MotionDetectionRemoveButtonText,Fjern
MotionDetectionNoMaskWarning,Ingen bevegelsesdeteksjonsmaske er valgt.  Klikk på "Angi område" eller "Angi alle" for å angi en bevegelsesdeteksjonsmaske.
MotionDetectionMaxIncludeRectsError,Maksimalt antall inkluderte bevegelsesdeteksjonsområder er nådd.
MotionDetectionMaxExcludeRectsError,Maksimalt antall ekskluderte bevegelsesdeteksjonsområder er nådd.
MotionDetectionMaxTotalRectsError,Maksimalt antall inkluderte og ekskluderte bevegelsesdeteksjonsområder er nådd.

#################################################
# Privacy Zones Setup Strings
#################################################

PrivacyZonesSetupPageText,Personvernsoner
PrivacyZonesListLabel,Personvernsoner:
PrivacyZonesAddButtonText,Legg til
PrivacyZonesRemoveButtonText,Slett
PrivacyZoneName,Personvernsone %1%
PrivacyZoneFullMessage,Maksimalt %1% personvernsoner kan opprettes.
PrivacyZoneCommitQuery,Vil du lagre endringer til %1%?
PrivacyZoneDeleteQuery,Vil du slette %1%?

#################################################
# Analytic Motion Detection Strings
#################################################

AnalyticMotionDetectionSetupPageText,Analytisk bevegelsesdeteksjon
AnalyticMotionDetectionSetupPageTitleText,Analytisk bevegelsesdeteksjon
AnalyticMotionDetectionImagePanelAddRod,Legg til eksklusjonsområde
AnalyticMotionDetectionImagePanelRemoveRod,Slett eksklusjonsområde
AnalyticMotionDetectionImagePanelResetRoi,Nullstill inklusjonsområde
AnalyticMotionDetectionHomePositionWarning,Konfigurasjonen vil kun gjelde for startposisjonen.


AnalyticMotionDetectionImagePanelMinimum,Min
AnalyticMotionDetectionImagePanelMaximum,Maks
AnalyticMotionDetectionImagePanelLow,Lav
AnalyticMotionDetectionImagePanelHigh,Høy

AnalyticMotionDetectionEventNameLabel,Hendelsesnavn

AnalyticMotionDetectionObjectTypeLabel,Objekttyper
AnalyticMotionDetectionPersonLabel,Person
AnalyticMotionDetectionVehicleLabel,Kjøretøy

AnalyticMotionDetectionSensitivityLabel,Følsomhet
AnalyticMotionDetectionDetectionTimeLabel,Deteksjonstid
AnalyticMotionDetectionNumObjects,Antall objekter

AnalyticMotionDetectionPreMotionRecordTimeLabel,Opptakstid før bevegelse
AnalyticMotionDetectionPostMotionRecordTimeLabel,Opptakstid etter bevegelse

AnalyticMotionDetectionSecondsLabel,sekunder
AnalyticMotionDetectionSecondsParamLabel,%1% sek

AnalyticMotionDetectionDetectionTimoutLabel,Tidsavbrudd

AnalyticMotionDetectionModePixel,Deteksjon av pikselbevegelse
AnalyticMotionDetectionModeAnalytic,Bevegelsesdeteksjon av klassifisert object

AnalyticMotionDetectionImagePanelReverseBeam,Omvendt retning 
AnalyticMotionDetectionImagePanelBidirectionalBeam,Toveis

#################################################
# Digital Inputs & Outputs Setup Strings
#################################################

DigitalIoMgmtSetupPageText,Digitale innganger og utganger
DigitalInputListText,Digitale innganger:
DigitalOutputListText,Digital utganger:
DigitalInputChannelLabel,Digital inngang %1%
DigitalInputMaxRecordTimeText,Opptaksvarighet:
DigitalInputNameLabelText,Navn:
DigitalOutputNameLabelText,Navn:
DigitalInputPolarityLabelText,Kretstilstand:
DigitalInputPolarityHigh,Normalt åpen
DigitalInputPolarityLow,Normalt lukket
DigitalInputPostRecordTimeUnlimitedText,Følg hendelse
DigitalInputPostRecordTimeLimitedText,Maksimal tid:
DigitalInputPreBufferLabel,Opptakstid før hendelse:
DigitalInputPostBufferLabel,Opptakstid etter hendelse:
DigitalInputCameraText,Koble til kamera(er):
DigitalOutputChannelLabel,Digital utgang %1%
DigitalOutputNormalCircuitStateClosedLabel,Normalt lukket
DigitalOutputNormalCircuitStateOpenLabel,Normalt åpen
DigitalOutputManualCameraText,Koble til kamera(er):
DigitalOutputManualActivationLabel,Utløservirkemåte:
DigitalOutputManualActivationText,Aktiver
DigitalOutputManualPulseText,Pulser
DigitalOutputManualActivationDurationText,Varighet:
DigitalOutputManualActivationOnlyDurationText,Utløservarighet:
DigitalOutputManualPulsePeriodText,Periode:
DigitalOutputManualPulseOnlyPeriodText,Utløserperiode:
DigitalOutputManualPulsePeriodSuffix,ms
DigitalOutputManualPulseDutyCycleText,Driftsperiode:
DigitalOutputManualPulseOnlyDutyCycleText,Driftsperiode for utløser:
DigitalOutputManualPulseDutyCycleSuffix,%%
DigitalOutputManualPulseRepeatText,Gjentagelsesantall:
DigitalOutputManualPulseOnlyRepeatText,Gjentagelsesantall for utløser:


#################################################
# Audio Setup Strings
#################################################

AudioSetupPageText,Mikrofon
AudioSetupPageDeviceListHeader,Mikrofoninnganger:
AudioSetupPageChannelSuffix,Lydinngangskanal %1%
AudioSetupPageNameLabel,Navn:
AudioSetupPageSourceTypeLabel,Kilde:
AudioSetupPageSourceTypeMicrophone,Mikrofon
AudioSetupPageSourceTypeLine,Linje
AudioSetupPageGainLabel,Forsterking:
AudioSetupPageGainItemLabel,%1% dB
AudioSetupPageEnableLabel,Aktiver
AudioSetupPageDeviceLabel,Koble til kamera(er):
AudioSetupPageConflictMessage,Kamera "%1%" er i øyeblikket koblet til en annen mikrofoninngang. Denne koblingen blir fjernet hvis du fortsetter.\n\nEr du sikker på at du vil fortsette?
AudioSetupPageListenLabel,Lytt
AudioSetupPageStopLabel,Demp
AudioSetupPageListenNoCamera,Denne mikrofoninngangen er ikke koblet til noen kameraer.\n\nHvis du skal lytte til denne mikrofoninngangen, må du først velge et kamera\nå koble til og så klikke på Bruk.
AudioSetupPageEnabledNoMappingError,Mikrofoninngang "%1%" må være koblet til et kamera før den kan aktiveres.
AudioSetupPageNoLinkWarning,Det er ikke koblet noe kamera til denne mikrofoninngangen.

#################################################
# Device Speaker Setup Strings
#################################################

DeviceSpeakerSetupPageText,Høyttaler
DeviceSpeakerSetupPageDeviceListHeader,Høyttalerutganger:
DeviceSpeakerSetupPageChannelSuffix,Lydutgangskanal %1%
DeviceSpeakerSetupPageNameLabel,Navn:
DeviceSpeakerSetupPageRecordLabel,Ta opp høyttalerutgang
DeviceSpeakerSetupPageVolumeLabel,Volum:
DeviceSpeakerSetupPageEnableLabel,Aktiver
DeviceSpeakerSetupPageDeviceLabel,Koble til kamera(er):
DeviceSpeakerSetupPageEnabledNoMappingError,Høyttaleren "%1%" må være koblet til et kamera før den kan aktiveres.
DeviceSpeakerSetupPageNoLinkWarning,Det er ikke koblet noe kamera til denne høyttaleren.
DeviceSpeakerLevelLabel,Mikrofonnivå:

#################################################
# Analytic Channel Setup Strings
#################################################

AnalyticChannelSetupPageText,Videoanalysekonfigurasjon
AnalyticChannelSetupPageCameraLink,Kobling til kamera:

AnalyticChannelSetupErrorLinkExceedPixelLimit,Oppløsningen for det valgte kameraet er for høy for denne enheten. 
AnalyticChannelSetupErrorLinkNoValidStream,Det valgte kameraet har ingen gyldig videostrøm for denne enheten.
AnalyticChannelSetupErrorLinkDeviceNotFound,Kunne ikke koble til kamera. Kamera ble ikke funnet. 
AnalyticChannelSetupErrorLinkFail,Kunne ikke koble til kamera.
AnalyticChannelSetupErrorLinkRemoveFail,Kunne ikke koble fra kamera. 
AnalyticChannelSetupErrorLinkAlreadyExists,Det valgte kameraet er allerede koblet til en annen videoanalyseenhet.

#################################################
# Video Analytics Configuration Strings
#################################################

AnalyticConfigurationLocationLabel,Plassering:
AnalyticConfigurationLocationOutdoor,Utendørs
AnalyticConfigurationLocationIndoor,Stort område innendørs
AnalyticConfigurationLocationIndoorOverhead,Innendørs over hodet
AnalyticConfigurationLocationOutdoorHighSensitivity,Utendørs med høy følsomhet

AnalyticConfigurationSelfLearningEnable,Aktiver selvlæring
AnalyticConfigurationSelfLearningReset,Nullstilling av selvlæring
AnalyticConfigurationSelfLearningResetConfirm,Læring av scenen på nytt kan ta flere timer. Fortsette?
AnalyticConfigurationSelfLearningProgress,Selvlæringsfremdrift:
AnalyticConfigurationTamperingSensitivity,Følsomhet for inngrep:

AnalyticConfigurationMaximumRegionsOfDisinterest,Maksimalt antall eksklusjonsområder er nådd.

AnalyticConfigurationNoiseFilterEnable,Aktiver støyfilter

AnalyticConfigurationCameraTypeLabel,Kameratype:
AnalyticConfigurationCameraTypeDayAndNight,Dag og natt
AnalyticConfigurationCameraTypeColor,Farger
AnalyticConfigurationCameraTypeBlackAndWhite,Svart-hvitt
AnalyticConfigurationCameraTypeThermal,FLIR

AnalyticEventConfigurationEventConfigLabel,Hendelseskonfigurasjoner for analyse:

AnalyticConfigurationLinkedDeviceLabel,Tilkoblet kamera:
AnalyticConfigurationLinkedDeviceNone,Ingen

AnalyticEventConfigurationEventName,Navn:
AnalyticEventConfigurationEventEnabled,Hendelse er aktivert
AnalyticEventConfigurationEventDisabled,Hendelse er deaktivert
AnalyticEventConfigurationEventObjectTypes,Objekttyper:
AnalyticEventConfigurationEventActivityType,Aktivitet:
AnalyticEventConfigurationEventDetectionTime,Deteksjonstid:
AnalyticEventConfigurationEventSensitivity,Følsomhet:
AnalyticEventConfigurationAddButton,Legg til
AnalyticEventConfigurationEditButton,Rediger
AnalyticEventConfigurationDeleteButton,Slett

AnalyticEventConfigurationShowAdvancedOptions,Vis avanserte alternativer
AnalyticEventConfigurationHideAdvancedOptions,Skjul avanserte alternativer

AnalyticEventConfigurationMinObjectCount,Min. antall objekter
AnalyticEventConfigurationMaxObjectCount,Maks. antall objekter

AnalyticEventConfigurationEnabledDirectionOfTravel,Forbudt retning:

AnalyticEventConfigurationDetectionClassUnknown,Ukjent
AnalyticEventConfigurationDetectionClassPerson,Person
AnalyticEventConfigurationDetectionClassVehicle,Kjøretøy
AnalyticEventConfigurationDetectionClassSuspicious,Mistenkelig
AnalyticEventConfigurationDetectionClassBoat,Båt

AnalyticEventConfigurationEventEnable,Aktivert

AnalyticEventConfigurationNameChangeWarning,Endring av navnet på en analysehendelse vil bryte tilknyttede regler. Fortsette?
AnalyticEventConfigurationSaveFailureMessage,Det oppstod en feil under lagring av analysehendelser.
AnalyticEventConfigurationDuplicateNameChangeError,En analysehendelse med det angitte navnet finnes allerede på denne enheten.


#################################################
# Alarm Monitoring Strings
#################################################

AlarmPanelTitle,Alarmer

AlarmActiveCountLabel,%1% alarmer aktive
AlarmAssignedCountLabel,%1% alarmer tildelt andre
AlarmAssignedToMeCountLabel,%1% alarmer tildelt deg

AlarmActiveFilter,Aktive alarmer
AlarmAssignedToYouFilter,Alarmer som er tildelt til meg
AlarmAssignedToOtherFilter,Alarmer som er tildelt til andre
AlarmAcknowledgedFilter,Kvitterte alarmer
AlarmTopFilter,Toppalarmer

AlarmNoneAvailableWarning,Ingen alarmer krever oppmerksomhet

AlarmPanelAlarmListTitle,Alarmer
AlarmPanelAssignedListTitle,Tilordnede alarmer
AlarmPanelHistoryTitle,Alarmutløsere
AlarmPanelLiveDisplayTimeText,Direkte
AlarmPanelAckTitle,Kvitter for alarm
AlarmPanelAckLabel,Kvitter
AlarmPanelClaimLabel,Tilordne alarm
AlarmPanelUnclaimLabel,Fradel alarm
AlarmPanelViewLabel,Åpne i visning
AlarmPanelPixelSearchLabel,Søk etter alarm
AlarmPanelExportLabel,Eksporter alarm
AlarmPanelPurgeLabel,Fjern alarm
AlarmPanelBookmarkLabel,Bokmerk alarm


AlarmPanelNameColumn,Navn
AlarmPanelPriorityColumn,Prioritet
AlarmPanelTimeColumn,Tid
AlarmPanelStatusColumn,Status

AlarmStatusAcknowledged,Kvittert
AlarmStatusAutoAcknowledged,Auto-kvittert
AlarmStatusActive,Aktiv
AlarmStatusAssigned,Tilordnet %1%
AlarmStatusAssignedToMe,Tilordnet

AlarmAckTitle,Kvitter for alarm
AlarmAckNoteLabel,Kommentar:
AlarmAckYesLabel,Ja
AlarmAckNoLabel,Nei
AlarmAckNoteRequiredText,Det kreves en kommentar for å kvittere for denne alarmen.
AlarmAckAckBtnLabel,Kvitter

AlarmAckDigitalOutputTitle,Aktiver digital utgang
AlarmAckDigitalOutputQuery,Er du sikker på at du vil aktivere "%1%"?
AlarmAckDigitalOutputPluralQuery,Er du sikker på at du vil aktivere "%1%"?
AlarmAckGeneralQuery,Er du sikker på at du vil kvittere for denne alarmen?

AlarmLogActive,Alarm aktivert %1%

# Image panel overlay strings
AlarmOverlayTitle,%1% aktiv
AlarmOverlayAckToolTip,Kvitter for alarm


#################################################
# Search Strings
#################################################

SearchPanelEventTitle,Søk: Hendelse
SearchPanelAppearanceTitle,Søk: Utseende
SearchPanelBookmarkTitle,Søk: Bokmerke
SearchPanelPixelTitle,Søk: Bevegelse
SearchPanelLprTitle,Søk: Nummerskilter
SearchPanelThumbnailTitle,Søk: Miniatyrbilder
SearchPanelPosTitle,Søk: POS-transaksjoner
SearchPanelAlarmTitle,Søk: Alarmer
SearchEventTypeText,Hendelser å søke etter:
SearchEventTypeMotion,Bevegelseshendelser
SearchEventTypeDigitalInput,Digital inngang-hendelser
SearchEventTypeClassifiedObject,Klassifisert objekt-hendelser
SearchTextSourcesText,POS-transaksjonskilder å søke etter:
SearchAlarmsText,Alarmer å søke etter:
SearchCancelButtonText,Stopp søk
SearchPixelThresholdText,Terskel:
SearchPixelResultSeparateText,Enkeltobjekter
SearchPixelResultJoinText,Slå sammen resultater mindre enn
SearchPixelResultJoinPostText,sekunder fra hverandre
SearchPixelSettingsGroupBoxText,Alternativer for pikselsøk:
SearchClassifiedObjectSettingsGroupBoxText,Alternativer for klassifisert objektsøk:
SearchClassifiedDwellTimeText,Minste terskeltid:
SearchClassifiedResultJoinText,Slått sammen av tid
SearchClassifiedDisplayResultsText,Vis resultater som:
SearchClassifiedDwellTimePostText,sekunder
SearchClassifiedCertaintyText,Sikkerhet:
SearchPixelModeToolbarButtonText,Pikselbevegelse
SearchClassifiedObjectModeToolbarButtonText,Klassifisert objekt-bevegelse
SearchLprGroupBoxText,Alternativer for nummerskiltsøk:
SearchLprPlateText,Nummerskilt:
SearchLprMinConfidenceLabel,Min. sikkerhet:
SearchLprMinLabelConfidenceLabel,0%%
SearchLprMaxLabelConfidenceLabel,100%%
SearchLprConfidenceValueSuffixLabel,%%
SearchBookmarkLabel,Søk:
SearchPosLabel,Søketekst:
SearchPosTextLabel,Tekst:
SearchPosMethodLabel,Metode:
SearchPosMatchCaseLabel,Skill mellom store og små bokstaver
SearchPosMatchWholeWordLabel,Bare hele ord
SearchPosMethodNormal,Normal
SearchPosMethodWildCards,Jokertegn
SearchPosMethodRegex,Regulære uttrykk
SearchApperanceDeviceLabel,Enhet:
SearchApperanceDateTimeLabel,Dato og klokkeslett:
SearchApperanceReferenceImageLabel,Referansebilde:
SearchResultActionExportText,Eksporter denne hendelsen
SearchResultActionRefineText,Utfør et bevegelsessøk på denne hendelsen
SearchResultActionEditBookmarkText,Rediger dette bokmerket
SearchResultActionAddBookmarkText,Bokmerk denne hendelsen
SearchResultActionAddToNewView,Legg til i ny visning
SearchResultActionIndividualClassifiedObjectSearchText,Finn enkeltobjekter i denne hendelsen
SearchResultColumnType,Type
SearchResultColumnCluster,Sted
SearchResultColumnServer,Server
SearchResultColumnDevice,Kamera
SearchResultColumnStartDate,Startdato
SearchResultColumnStartTime,Starttid
SearchResultColumnStartMs,Starttid (ms)
SearchResultColumnEndDate,Sluttdato
SearchResultColumnEndTime,Sluttid
SearchResultColumnEndMs,Sluttid (ms)
SearchResultColumnDate,Dato
SearchResultColumnTime,Tid
SearchResultColumnMs,Tid (ms)
SearchResultColumnDuration,Varighet
SearchResultColumnDigitalInput,Kilde
SearchResultColumnLprString,Nummerskilt
SearchResultColumnTextSource,Transaksjonskilde
SearchResultColumnAlarm,Alarm
SearchResultColumnEvent,Hendelse
SearchResultColumnNote,Notat
SearchResultColumnTitle,Tittel
SearchResultColumnObjectId,ID
SearchResultColumnObjectType,Type
SearchResultColumnCertainty,Sikkerhet
SearchResultColumnDwellTime,Varighet
SearchResultColumnPersonCount,Antall personer
SearchResultColumnVehicleCount,Antall kjøretøy
SearchResultColumnTotalCount,Antall objekter
SearchResultColumnMaxCertainty,Maks. sikkerhet
SearchResultColumnMinCertainty,Min. sikkerhet
SearchResultColumnAvgCertainty,Gj.sn. sikkerhet
SearchResultColumnScore,Resultat
SearchResultColumnDistance,Avstand
SearchResultColumnTimeDifference,Tidsforskjell
SearchResultCountString,%1% resultater funnet
SearchResultSearchResultCount,resultater funnet
SearchResultInfoDigitalInput,Digital inngang-hendelser
SearchResultInfoDigitalInputSource,Inngang:
SearchResultInfoBookmark,Bokmerke
SearchResultInfoMotion,Bevegelseshendelse
SearchResultInfoDetectionBox,Klassifisert objekt-hendelse
SearchResultInfoDetectionBoxSummary,Klassifisert objekt-sammendragshendelse
SearchResultInfoAppearanceSearchSummary,Utseende
SearchResultInfoLpr,Nummerskilt
SearchResultInfoStartTime,Start:
SearchResultInfoEndTime,Slutt:
SearchResultInfoDurationLabel,Varighet:
SearchResultInfoLprString,Nummerskilt:
SearchResultInfoLprConfidence,Sikkerhet:
SearchResultInfoBookmarkName,Navn:
SearchResultInfoBookmarkUserName,Opprettet av:
SearchResultInfoBookmarkCameras,Kamera(er):
SearchResultInfoBookmarkCreationTime,Opprettet:
SearchResultInfoBookmarkDescription,Beskrivelse:
SearchResultInfoPos,POS-transaksjon
SearchResultInfoAlarm,Alarm:
SearchResultInfoAlarmNote,Kommentar:


SearchSystemTreeTitle,Kamera(er) å søke på:
SearchSystemTreeTitleSingle,Kamera å søke på:
SearchChangeButtonText,Endre søk
SearchStartButtonText,Søk
SearchSpinnerText,Søker...
SearchResultEventTypeDigitalInput,Digitale inngang
SearchResultEventTypeMotion,Bevegelse
SearchResultEventTypeAnalyticEvent,Klassifisert objekt
SearchResultEventTypeBookmark,Bokmerke
SearchTimeRangeText,Tidsområde å søke i:
SearchExportToCsvText,Eksporter resultater til en fil
SearchExportToCsvFilter,CSV-filer (*.csv)|*.csv|Tekstfiler (*.txt)|*.txt|Alle filer (*.*)|*.*
SearchReSearchButtonText,Søk på nytt
SearchStepInButtonText,Trinn inn
SearchStepOutButtonText,Trinn ut
SearchOpenViewButtonText,Åpne i visning
SearchThumbnailLargeSizeText,Store miniatyrbilder
SearchThumbnailMidSizeText,Middels miniatyrbilder
SearchThumbnailSmallSizeText,Små miniatyrbilder

#################################################
# Save File Dialog Strings
#################################################

ErrorNoFile,Du må oppgi et filnavn.
ErrorNoDirectory,Du må oppgi en gyldig katalog for filen.
ErrorDirectoryDoesntExist,Katalogen "%1%" finnes ikke. Opprette?
ErrorCreatingDirectory,Feil: Kunne ikke opprette katalog.
OverwritePossiblePrompt,Filer med navn som starter med "%1%" kan bli overskrevet. Fortsette?

#################################################
# Export Strings
#################################################

ExportTitle,Eksport
ExportPreviewGroupText,Forhåndvis
ExportPropertiesGroupText,Eksportalternativer
ExportTypeLabel,Format:
ExportTypeAVE,Innebygd
ExportTypeAVI,AVI-video
ExportTypePNG,PNG-bilde
ExportTypePNGMulti,PNG-bilder
ExportTypeJPEG,JPEG-bilde
ExportTypeJPEGMulti,JPEG-bilder
ExportTypePGM,PGM-bilde
ExportTypePGMMulti,PGM-bilder
ExportTypeTIFF,TIFF-bilde
ExportTypeTIFFMulti,TIFF-bilder
ExportTypePrint,Utskriftsbilde
ExportTypePDF,PDF-fil
ExportTypeWAV,WAV-lyd
ExportRateLabel,Bildefrekvens:
ExportRateFractionText,Eksporter ved
ExportRateFullLabel,Full
ExportRatePeriodicLabel,Tilpasset (bps)
ExportImageCountLabel,Bilder å eksportere:
ExportImageCountUnlimited,Ubegrenset
ExportPlayerWithDataText,Eksporter Control Center Player
ExportEncoderLabel,Koding:
ExportEncoderNone,Ingen
ExportVC1EncoderName,VC-1 (Windows Media Video)
ExportH264EncoderName,H.264 (MPEG-4 AVC)
ExportMJPEGEncoderName,M-JPEG (Motion JPEG)
ExportCompressionLabel,Kvalitet:
ExportCompressionHigh,Høy
ExportCompressionMedium,Middels
ExportCompressionLow,Lav
ExportResolutionLabel,Oppløsning:
ExportRoiLabel,Endre bildeområde...
ExportRoiFormTitle,Endre bildeområde
ExportRoiFormCaption,Velg bildeområdet som skal eksporteres.
ExportSplitFilesSectionLabel,Lagring:
ExportMaxFileSizeLabel,Maksimal filstørrelse:
ExportSplitFilesPostLabel,MB
ExportSplitFilesUnlimited,Ubegrenset
ExportSplitFilesCD,650 (CD-ROM)
ExportSplitFilesLongCD,700 (CD-ROM)
ExportSplitFilesCD90min,800 (CD-ROM)
ExportSplitFilesDVD,4700 (DVD-ROM)
ExportSplitFilesDLDVD,8500 (DVD-R DL)
ExportSplitFilesBD,26 844 (BR-R)
ExportSplitFilesDLBD,53 687 (BR-R DL)
ExportSkipGapsLabel,Hopp over opptaksmellomrom
ExportOverlaysLabel,Overlegg:
ExportOverlaysLocation,Kameraplassering
ExportOverlaysName,Kameranavn
ExportOverlaysTimestamp,Tidsstempel
ExportDisplayPropertiesText,Skjermjusteringer...
ExportErrorInvalidFrames,Ett eller flere bilder må eksporteres.
ExportErrorPlayerExeInvalid,Spillerpakke er ugyldig og kunne ikke eksporteres.
ExportTimeRangeGroupBox,Tidsområde
ExportOverlaysAnalytics,Videoanalyseaktivitet
ExportClipNameText,Klipp %1%
ExportClipsLabel,Klipp:
ExportCamerasLabel,Kameraer:
ExportAddClipLabel,Legg til klipp
ExportDeleteClipLabel,Slett klipp
ExportInvalidClipError,Minst én enhet må velges for hvert klipp.

ExportIncompleteFrameCountSuccessMsg,Eksport fullførte vellykket før bildeantall ble nådd.
ExportIncompleteRangeSuccessMsg,Eksport fullførte vellykket før slutten på angitt tidsområde.
ExportInterruptedMsg,Eksport avbrutt av bruker.
ExportDiscBurnError,Det oppstod en feil under skriving til plate.
ExportInterruptedAwaitingDiscMsg,Platen er full. Eksport stanset midlertidig. Sett inn en ny plate.
ExportNoFrameMsg,Tidsområdet for eksport inneholder ingen data.
ExportServerErrorMsg,Eksport avbrutt på grunn av en uventet serverfeil.
ExportPrintErrorMsg,Eksport avbrutt på grunn av uventet skriverfeil.
ExportPausedMsg,Eksport er midlertidig stranset.

ExportOverwriteMultiAfterPrompt,Vil du erstatte dem?
ExportOverwriteMultiBeforePrompt,Disse filene finnes fra før og vil bli overskrevet:

ExportProgressData,Data: %1$0.1f MB
ExportProgressDataEstimate,Estimat: %1$0.1f MB
ExportProgressFrames,Bilder: %1%
ExportProgressDone,Eksporterer: Ferdig
ExportProgressPercentage,Eksporterer: %1%%% ferdig
ExportProgressTimeEstimate,Beregnet tid som gjenstår:
ExportProgressTimeEstimateHours,%1% timer, %2% minutter
ExportProgressTimeEstimateMinutes,%1% minutter, %2% sekunder
ExportProgressTimeEstimateSeconds,%1% sekunder
